T_years,duration_hours,intensity_mm_per_hr
5,0.532916,90.2503
5,0.54528,88.7282
5,0.557931,87.2317
5,0.570876,85.7605
5,0.584121,84.3141
5,0.597674,82.892
5,0.611541,81.494
5,0.625729,80.1195
5,0.640247,78.7683
5,0.655102,77.4398
5,0.670301,76.1337
5,0.685853,74.8496
5,0.701766,73.5872
5,0.718048,72.3461
5,0.734708,71.1259
5,0.751754,69.9263
5,0.769196,68.747
5,0.787042,67.5875
5,0.805303,66.4476
5,0.823987,65.3269
5,0.843105,64.2251
5,0.862666,63.1419
5,0.882681,62.077
5,0.903161,61.03
5,0.924115,60.0007
5,0.945556,58.9887
5,0.967495,57.9938
5,0.989942,57.0157
5,1.01291,56.0541
5,1.036411,55.1087
5,1.060457,54.1792
5,1.085062,53.2655
5,1.110237,52.3671
5,1.135996,51.4839
5,1.162353,50.6156
5,1.189321,49.7619
5,1.216915,48.9226
5,1.245149,48.0975
5,1.274038,47.2863
5,1.303598,46.4888
5,1.333843,45.7047
5,1.364791,44.9339
5,1.396456,44.176
5,1.428856,43.4309
5,1.462007,42.6984
5,1.495928,41.9783
5,1.530636,41.2703
5,1.566149,40.5743
5,1.602486,39.8899
5,1.639666,39.2172
5,1.677708,38.5557
5,1.716634,37.9055
5,1.756462,37.2661
5,1.797215,36.6376
5,1.838913,36.0197
5,1.881578,35.4122
5,1.925234,34.8149
5,1.969902,34.2278
5,2.015606,33.6505
5,2.062372,33.0829
5,2.110222,32.525
5,2.159182,31.9764
5,2.209278,31.4371
5,2.260537,30.9069
5,2.312984,30.3856
5,2.366649,29.8731
5,2.421559,29.3693
5,2.477743,28.874
5,2.53523,28.387
5,2.594051,27.9082
5,2.654237,27.4375
5,2.715819,26.9748
5,2.77883,26.5198
5,2.843303,26.0725
5,2.909272,25.6328
5,2.976772,25.2005
5,3.045837,24.7755
5,3.116505,24.3576
5,3.188813,23.9468
5,3.262798,23.5429
5,3.338499,23.1458
5,3.415958,22.7555
5,3.495213,22.3717
5,3.576307,21.9944
5,3.659283,21.6234
5,3.744183,21.2587
5,3.831054,20.9002
5,3.91994,20.5477
5,4.010889,20.2011
5,4.103947,19.8604
5,4.199165,19.5254
5,4.296592,19.1961
5,4.396279,18.8724
5,4.498279,18.5541
5,4.602646,18.2412
5,4.709434,17.9335
5,4.8187,17.631
5,4.930501,17.3337
5,5.044896,17.0413
5,5.161945,16.7539
5,5.28171,16.4713
5,5.404254,16.1935
5,5.52964,15.9204
5,5.657936,15.6519
5,5.789209,15.3879
5,5.923527,15.1284
5,6.060961,14.8732
5,6.201585,14.6224
5,6.345471,14.3758
5,6.492695,14.1333
5,6.643335,13.895
5,6.797471,13.6606
5,6.955182,13.4302
5,7.116552,13.2037
5,7.281667,12.981
5,7.450613,12.7621
5,7.623478,12.5468
5,7.800354,12.3352
5,7.981334,12.1272
5,8.166512,11.9226
5,8.355988,11.7216
5,8.549859,11.5239
5,8.748228,11.3295
5,8.9512,11.1384
5,9.158881,10.9506
5,9.371381,10.7659
5,9.588811,10.5843
5,9.811286,10.4058
5,10.038922,10.2303
5,10.27184,10.0577
5,10.510162,9.8881
5,10.754013,9.7213
5,11.003522,9.5574
5,11.258821,9.3962
5,11.520042,9.2377
5,11.787324,9.0819
5,12.060807,8.9287
5,12.340636,8.7781
5,12.626957,8.6301
5,12.919921,8.4845
5,13.219683,8.3414
5,13.526399,8.2008
5,13.840231,8.0624
5,14.161345,7.9265
5,14.48991,7.7928
5,14.826097,7.6613
5,15.170085,7.5321
5,15.522053,7.4051
5,15.882188,7.2802
5,16.250678,7.1574
5,16.627718,7.0367
5,17.013506,6.918
5,17.408244,6.8013
5,17.812141,6.6866
5,18.22541,6.5739
5,18.648266,6.463
5,19.080934,6.354
5,19.52364,6.2468
5,19.976617,6.1415
5,20.440104,6.0379
5,20.914345,5.936
5,21.399589,5.8359
5,21.896091,5.7375
5,22.404113,5.6407
5,22.923922,5.5456
5,23.455791,5.4521
5,24.0,5.3601
10,0.25,190.8469
10,0.2558,187.6281
10,0.261735,184.4636
10,0.267808,181.3525
10,0.274022,178.2938
10,0.280379,175.2867
10,0.286884,172.3304
10,0.293541,169.4239
10,0.300351,166.5664
10,0.30732,163.7571
10,0.31445,160.9953
10,0.321746,158.2799
10,0.329211,155.6104
10,0.336849,152.9859
10,0.344664,150.4057
10,0.352661,147.869
10,0.360843,145.3751
10,0.369215,142.9232
10,0.377782,140.5127
10,0.386547,138.1428
10,0.395515,135.8129
10,0.404692,133.5223
10,0.414081,131.2704
10,0.423689,129.0564
10,0.433519,126.8797
10,0.443577,124.7398
10,0.453869,122.636
10,0.464399,120.5676
10,0.475174,118.5342
10,0.486199,116.535
10,0.497479,114.5695
10,0.509021,112.6372
10,0.520831,110.7375
10,0.532916,108.8698
10,0.54528,107.0336
10,0.557931,105.2284
10,0.570876,103.4537
10,0.584121,101.7088
10,0.597674,99.9934
10,0.611541,98.307
10,0.625729,96.6489
10,0.640247,95.0189
10,0.655102,93.4163
10,0.670301,91.8408
10,0.685853,90.2918
10,0.701766,88.769
10,0.718048,87.2718
10,0.734708,85.7999
10,0.751754,84.3528
10,0.769196,82.9301
10,0.787042,81.5314
10,0.805303,80.1564
10,0.823987,78.8045
10,0.843105,77.4754
10,0.862666,76.1687
10,0.882681,74.884
10,0.903161,73.621
10,0.924115,72.3794
10,0.945556,71.1586
10,0.967495,69.9585
10,0.989942,68.7786
10,1.01291,67.6186
10,1.036411,66.4781
10,1.060457,65.3569
10,1.085062,64.2546
10,1.110237,63.1709
10,1.135996,62.1055
10,1.162353,61.058
10,1.189321,60.0282
10,1.216915,59.0158
10,1.245149,58.0205
10,1.274038,57.0419
10,1.303598,56.0798
10,1.333843,55.134
10,1.364791,54.2041
10,1.396456,53.2899
10,1.428856,52.3912
10,1.462007,51.5075
10,1.495928,50.6388
10,1.530636,49.7848
10,1.566149,48.9451
10,1.602486,48.1196
10,1.639666,47.308
10,1.677708,46.5101
10,1.716634,45.7257
10,1.756462,44.9545
10,1.797215,44.1963
10,1.838913,43.4509
10,1.881578,42.7181
10,1.925234,41.9976
10,1.969902,41.2893
10,2.015606,40.5929
10,2.062372,39.9083
10,2.110222,39.2352
10,2.159182,38.5734
10,2.209278,37.9229
10,2.260537,37.2833
10,2.312984,36.6545
10,2.366649,36.0363
10,2.421559,35.4285
10,2.477743,34.8309
10,2.53523,34.2435
10,2.594051,33.666
10,2.654237,33.0981
10,2.715819,32.5399
10,2.77883,31.9911
10,2.843303,31.4516
10,2.909272,30.9211
10,2.976772,30.3996
10,3.045837,29.8869
10,3.116505,29.3828
10,3.188813,28.8872
10,3.262798,28.4
10,3.338499,27.921
10,3.415958,27.4501
10,3.495213,26.9872
10,3.576307,26.532
10,3.659283,26.0845
10,3.744183,25.6446
10,3.831054,25.2121
10,3.91994,24.7868
10,4.010889,24.3688
10,4.103947,23.9578
10,4.199165,23.5537
10,4.296592,23.1565
10,4.396279,22.7659
10,4.498279,22.382
10,4.602646,22.0045
10,4.709434,21.6333
10,4.8187,21.2685
10,4.930501,20.9098
10,5.044896,20.5571
10,5.161945,20.2104
10,5.28171,19.8695
10,5.404254,19.5344
10,5.52964,19.205
10,5.657936,18.8811
10,5.789209,18.5626
10,5.923527,18.2495
10,6.060961,17.9417
10,6.201585,17.6391
10,6.345471,17.3416
10,6.492695,17.0492
10,6.643335,16.7616
10,6.797471,16.4789
10,6.955182,16.201
10,7.116552,15.9277
10,7.281667,15.6591
10,7.450613,15.395
10,7.623478,15.1354
10,7.800354,14.8801
10,7.981334,14.6291
10,8.166512,14.3824
10,8.355988,14.1398
10,8.549859,13.9013
10,8.748228,13.6669
10,8.9512,13.4364
10,9.158881,13.2098
10,9.371381,12.987
10,9.588811,12.7679
10,9.811286,12.5526
10,10.038922,12.3409
10,10.27184,12.1327
10,10.510162,11.9281
10,10.754013,11.7269
10,11.003522,11.5292
10,11.258821,11.3347
10,11.520042,11.1435
10,11.787324,10.9556
10,12.060807,10.7708
10,12.340636,10.5892
10,12.626957,10.4106
10,12.919921,10.235
10,13.219683,10.0624
10,13.526399,9.8926
10,13.840231,9.7258
10,14.161345,9.5618
10,14.48991,9.4005
10,14.826097,9.242
10,15.170085,9.0861
10,15.522053,8.9328
10,15.882188,8.7822
10,16.250678,8.6341
10,16.627718,8.4884
10,17.013506,8.3453
10,17.408244,8.2045
10,17.812141,8.0661
10,18.22541,7.9301
10,18.648266,7.7964
10,19.080934,7.6649
10,19.52364,7.5356
10,19.976617,7.4085
10,20.440104,7.2835
10,20.914345,7.1607
10,21.399589,7.0399
10,21.896091,6.9212
10,22.404113,6.8045
10,22.923922,6.6897
10,23.455791,6.5769
10,24.0,6.466
25,0.25,244.55
25,0.2558,240.4254
25,0.261735,236.3705
25,0.267808,232.3839
25,0.274022,228.4645
25,0.280379,224.6113
25,0.286884,220.8231
25,0.293541,217.0987
25,0.300351,213.4372
25,0.30732,209.8374
25,0.31445,206.2983
25,0.321746,202.8189
25,0.329211,199.3982
25,0.336849,196.0352
25,0.344664,192.7289
25,0.352661,189.4784
25,0.360843,186.2827
25,0.369215,183.1409
25,0.377782,180.052
25,0.386547,177.0153
25,0.395515,174.0298
25,0.404692,171.0947
25,0.414081,168.209
25,0.423689,165.372
25,0.433519,162.5829
25,0.443577,159.8408
25,0.453869,157.145
25,0.464399,154.4946
25,0.475174,151.8889
25,0.486199,149.3272
25,0.497479,146.8087
25,0.509021,144.3326
25,0.520831,141.8983
25,0.532916,139.5051
25,0.54528,137.1522
